"","ID","AIClogistic","BIClogistic","AICgompertz","BICgompertz","AICbaranyi","BICbaranyi","AICbuchanan","BICbuchanan"
"88","Clavibacter.michiganensis..RDA.R._35_TSB","-28.8846195298805","-25.5517661536556","-58.6897265814869","-54.5236598612058","NA","NA","NA","NA"
"89","Tetraselmis tetrahele_5_ESAW","25.9334730418126","33.7384479161383","12.2700012511056","22.0262198440128","NA","NA","NA","NA"
"90","Tetraselmis tetrahele_8_ESAW","-3.20589912490308","4.75003706135402","-25.6515013492583","-15.7065811164369","-18.8031936376682","-8.85827340484685","NA","NA"
"91","Tetraselmis tetrahele_16_ESAW","-47.3422865656536","-38.7697476600875","NA","NA","67.8576188050282","78.5732924369858","NA","NA"
"92","Tetraselmis tetrahele_25_ESAW","NA","NA","NA","NA","NA","NA","NA","NA"
"93","Tetraselmis tetrahele_32_ESAW","50.6971925705532","58.8693976418914","28.1858745214211","38.4011308605939","28.1654201168822","38.3806764560549","NA","NA"
"94","Staphylococcus spp._2_Raw Chicken Breast","-14.3290959061761","-13.5401975968312","-17.6113906357107","-16.6252677490296","-21.6092196787843","-20.6230967921032","-18.557282587241","-17.5711597005599"
"95","Staphylococcus spp._4_Raw Chicken Breast","-5.0772828537092","-4.75951668698985","-6.61441320999095","-6.21720550159177","-3.96915886627218","-3.57195115787301","-9.26339128878249","-8.86618358038331"
"96","Staphylococcus spp._7_Raw Chicken Breast","-11.1277713453718","-8.57154202691073","-15.4064404996068","-12.2111538515305","-11.0619079263083","-7.86662127823202","-10.0300826836168","-6.83479603554052"
"97","Staphylococcus spp._10_Raw Chicken Breast","-15.1849394846555","-13.593358393462","-17.7575067015827","-15.7680303375909","-19.2877034477728","-17.298227083781","-21.0916945747898","-19.1022182107979"
"98","Staphylococcus spp._15_Raw Chicken Breast","-4.18076974844499","-3.39187143910011","-5.7550268685221","-4.76890398184101","-2.38566087145788","-1.39953798477678","4.46616360962876","5.45228649630986"
"99","Staphylococcus spp._20_Raw Chicken Breast","-11.9149334401113","-11.1260351307664","-15.2966391397867","-14.3105162531056","-12.6746826515588","-11.6885597648777","-6.96655655728143","-5.98043367060033"
"100","Staphylococcus spp._2_Salted Chicken Breast","13.9142031477258","15.124543519702","-17.6169849318739","-16.1040594669037","-17.3976833311703","-15.8847578662001","-23.6145839353573","-22.1016584703871"
"101","Staphylococcus spp._4_Salted Chicken Breast","-4.96444054850588","-5.79740267159366","-4.1989630092224","-5.24016566308213","NA","NA","NA","NA"
"102","Staphylococcus spp._7_Salted Chicken Breast","-9.67292586330235","-7.4131284334562","-16.7869145136798","-13.9621677263722","-10.6603827063643","-7.83563591905657","-7.55259522173306","-4.72784843442538"
"103","Staphylococcus spp._10_Salted Chicken Breast","26.0924990353595","28.3522964652056","-12.0918020461856","-9.26705525887796","NA","NA","-24.667978860668","-21.8432320733603"
"104","Staphylococcus spp._15_Salted Chicken Breast","-22.4703713961937","-20.5307447970417","-16.7533927672987","-14.3288595183587","-24.9211297402403","-22.4965964913003","-20.028069022306","-17.603535773366"
"105","Staphylococcus spp._20_Salted Chicken Breast","-8.74031009827007","-7.95141178892519","-8.46854652249244","-7.48242363581134","-6.4630057228896","-5.4768828362085","-5.10204219531009","-4.115919308629"
"106","Staphylococcus spp._2_Cooked Chicken Breast","-24.0616867415417","-22.8513463695655","-19.4797775659045","-17.9668521009342","-21.9999224044214","-20.4869969394512","-17.0496340782219","-15.5367086132517"
"107","Staphylococcus spp._4_Cooked Chicken Breast","-13.1500187855431","-13.3663781893218","-9.3004240083272","-9.57087326305063","-14.7732593779648","-15.0437086326882","NA","NA"
"108","Staphylococcus spp._7_Cooked Chicken Breast","-25.6771734540363","-23.4173760241902","-28.0597363200391","-25.2349895327314","-25.0011044768504","-22.1763576895427","-10.7378721991209","-7.9131254118132"
"109","Staphylococcus spp._10_Cooked Chicken Breast","52.2633828530915","54.2030094522435","NA","NA","NA","NA","NA","NA"
"110","Staphylococcus spp._15_Cooked Chicken Breast","-7.54631074980842","-5.95472965861494","-17.9974502359579","-16.007973871966","NA","NA","-10.5414976427474","-8.55202127875551"
"111","Staphylococcus spp._20_Cooked Chicken Breast","-7.20435719650142","-6.41545888715654","-14.9026477956159","-13.9165249089348","-14.1515041763422","-13.1653812896611","-13.261062990804","-12.2749401041229"
"112","Pseudomonas spp._2_Raw Chicken Breast","-7.49892883731326","-5.90734774611978","-12.4246155108871","-10.4351391468953","-5.98816773837031","-3.99869137437845","NA","NA"
"113","Pseudomonas spp._4_Raw Chicken Breast","-3.87723555814291","-4.09359496192166","-5.51454866443571","-5.78499791915914","1.10688029413661","0.836431039413172","4.94517265034749","4.67472339562405"
"114","Pseudomonas spp._7_Raw Chicken Breast","-10.520308586269","-9.3099682142928","-9.74935962871355","-8.23643416374331","NA","NA","-7.25605520941257","-5.74312974444234"
"115","Pseudomonas spp._10_Raw Chicken Breast","-7.71962869189321","-5.45983126204706","-20.6156175072588","-17.7908707199512","-12.5779857542575","-9.75323896694979","-10.9122658318952","-8.08751904458755"
"116","Pseudomonas spp._15_Raw Chicken Breast","-6.52201176082193","-4.58238516166992","-9.03325251868427","-6.60871926974427","-9.29089647246527","-6.86636322352527","-8.22187077014067","-5.79733752120067"
"117","Pseudomonas spp._20_Raw Chicken Breast","-15.7733955571528","-14.9844972478079","-18.8434494478594","-17.8573265611783","-11.8689261741024","-10.8828032874213","NA","NA"
"118","Pseudomonas spp._2_Salted Chicken Breast","-23.8610201790406","-22.2694390878471","-27.9931084994746","-26.0036321354827","-21.9593353156785","-19.9698589516867","NA","NA"
"119","Pseudomonas spp._4_Salted Chicken Breast","-10.3641047169085","-10.5804641206872","-6.04080489700905","-6.31125415173249","-9.27809251610973","-9.54854177083316","-10.1001643472189","-10.3706136019423"
"120","Pseudomonas spp._7_Salted Chicken Breast","-27.6277634664992","-26.0361823753057","-20.890243469897","-18.9007671059051","-30.8625762056023","-28.8730998416104","NA","NA"
"121","Pseudomonas spp._10_Salted Chicken Breast","-17.8503044269547","-15.5905069971086","-23.7832760919066","-20.9585293045989","-19.7649889771237","-16.940242189816","-13.8593111495813","-11.0345643622736"
"122","Pseudomonas spp._15_Salted Chicken Breast","-12.8275681691716","-10.8879415700196","-27.8489331703294","-25.4243999213894","-23.6311678761466","-21.2066346272066","NA","NA"
"123","Pseudomonas spp._20_Salted Chicken Breast","-12.0662678541396","-11.7485016874203","-19.4066202516957","-19.0094125432965","-28.1729624270499","-27.7757547186507","NA","NA"
