"","ID","order","species","stage","originaltraitname","traitvalue","unit","temp","time","location","longitude","latitude","study","traitname"
"35","MTD2067","Hemiptera","Planococcus citri","pre-pupae (male)","Development Time",3.16,"day / 1 individual",28,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"36","MTD2067","Hemiptera","Planococcus citri","pre-pupae (male)","Development Time",3.04,"day / 1 individual",30,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"37","MTD2067","Hemiptera","Planococcus citri","pre-pupae (male)","Development Time",3.61,"day / 1 individual",32,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"38","MTD2068","Hemiptera","Planococcus citri","pupae (male)","Development Time",9.83,"day / 1 individual",18,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"39","MTD2068","Hemiptera","Planococcus citri","pupae (male)","Development Time",10.75,"day / 1 individual",20,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"40","MTD2068","Hemiptera","Planococcus citri","pupae (male)","Development Time",4.25,"day / 1 individual",23,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"41","MTD2068","Hemiptera","Planococcus citri","pupae (male)","Development Time",2.4,"day / 1 individual",25,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"42","MTD2068","Hemiptera","Planococcus citri","pupae (male)","Development Time",2.66,"day / 1 individual",28,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"43","MTD2068","Hemiptera","Planococcus citri","pupae (male)","Development Time",2.52,"day / 1 individual",30,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"44","MTD2068","Hemiptera","Planococcus citri","pupae (male)","Development Time",3.23,"day / 1 individual",32,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"45","MTD2069","Hemiptera","Planococcus citri","adult (female)","Longevity",47.29,"day / 1 individual",18,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Mortality"
"46","MTD2069","Hemiptera","Planococcus citri","adult (female)","Longevity",43.75,"day / 1 individual",20,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Mortality"
"47","MTD2069","Hemiptera","Planococcus citri","adult (female)","Longevity",32.52,"day / 1 individual",23,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Mortality"
"48","MTD2069","Hemiptera","Planococcus citri","adult (female)","Longevity",32.07,"day / 1 individual",25,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Mortality"
"49","MTD2069","Hemiptera","Planococcus citri","adult (female)","Longevity",32.14,"day / 1 individual",28,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Mortality"
"50","MTD2069","Hemiptera","Planococcus citri","adult (female)","Longevity",31.95,"day / 1 individual",30,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Mortality"
"51","MTD2069","Hemiptera","Planococcus citri","adult (female)","Longevity",32.7,"day / 1 individual",32,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Mortality"
"52","MTD2070","Hemiptera","Planococcus citri","adult (male)","Longevity",2.17,"day / 1 individual",18,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Mortality"
"53","MTD2070","Hemiptera","Planococcus citri","adult (male)","Longevity",2.5,"day / 1 individual",20,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Mortality"
"54","MTD2070","Hemiptera","Planococcus citri","adult (male)","Longevity",2.06,"day / 1 individual",23,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Mortality"
"55","MTD2070","Hemiptera","Planococcus citri","adult (male)","Longevity",1.41,"day / 1 individual",25,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Mortality"
"56","MTD2070","Hemiptera","Planococcus citri","adult (male)","Longevity",1.5,"day / 1 individual",28,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Mortality"
"57","MTD2070","Hemiptera","Planococcus citri","adult (male)","Longevity",1.67,"day / 1 individual",30,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Mortality"
"58","MTD2070","Hemiptera","Planococcus citri","adult (male)","Longevity",1.23,"day / 1 individual",32,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Mortality"
"59","MTD2072","Hemiptera","Planococcus citri","adult","Generation Time",55.12,"day / 1 individual",18,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"60","MTD2072","Hemiptera","Planococcus citri","adult","Generation Time",58.72,"day / 1 individual",20,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
